Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Scryfall URL,Image URL,Prix
Sol Ring,MOC,March of the Machine Commander,381,normal,uncommon,1,82037,eca9ae7b-a6d9-43ea-92d4-0110fd6643a7,0.77,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/267/sol-ring?utm_source=api,https://cards.scryfall.io/normal/front/6/c/6c5c9437-3d99-4a7c-8255-9acdcb1acc40.jpg?1712354902,0.92
Strionic Resonator,MOC,March of the Machine Commander,384,normal,rare,1,81908,b9edb215-f967-4968-905e-d1dc3b5d3424,2.62,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/384/strionic-resonator?utm_source=api,https://cards.scryfall.io/normal/front/b/9/b9edb215-f967-4968-905e-d1dc3b5d3424.jpg?1682210274,2.80
Sungrass Prairie,MOC,March of the Machine Commander,427,normal,rare,1,81960,cdc9ad2c-a0a9-4b38-8941-c300751ce23d,0.21,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/297/sungrass-prairie?utm_source=api,https://cards.scryfall.io/normal/front/8/a/8af1bed5-fec8-4313-a946-eef9c73e2f87.jpg?1706241260,0.15
Sunscorch Regent,MOC,March of the Machine Commander,209,normal,rare,1,81994,da6b530c-5a56-4dc1-8d36-6ed8d2c158a9,0.69,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/209/sunscorch-regent?utm_source=api,https://cards.scryfall.io/normal/front/d/a/da6b530c-5a56-4dc1-8d36-6ed8d2c158a9.jpg?1682208635,0.58
Swords to Plowshares,MOC,March of the Machine Commander,211,normal,uncommon,1,81777,81c31217-7919-40fd-97e7-88431b7bd277,0.98,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/88/swords-to-plowshares?utm_source=api,https://cards.scryfall.io/normal/front/9/b/9bbec76c-c1e4-4c6d-ad24-078fe097f195.jpg?1709439398,0.95
Temple of Abandon,MOC,March of the Machine Commander,430,normal,rare,1,81487,0203d093-a060-47d7-876b-e7ce8e444bc6,0.16,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/301/temple-of-abandon?utm_source=api,https://cards.scryfall.io/normal/front/2/f/2f4a85ee-235c-448c-b75b-808a70ed95d2.jpg?1706241269,0.20
Temple of Plenty,MOC,March of the Machine Commander,435,normal,rare,1,81673,52f06041-0dce-45b2-bb05-833c0ebb438f,0.22,False,False,near_mint,fr,EUR,https://scryfall.com/card/mkc/304/temple-of-plenty?utm_source=api,https://cards.scryfall.io/normal/front/3/6/36298771-c671-4307-b8b6-31e3ead75be2.jpg?1706241278,0.24
Temple of the False God,MOC,March of the Machine Commander,437,normal,uncommon,1,81913,bb218ee0-24fd-4d23-8135-468f3e4a41be,0.14,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/334/temple-of-the-false-god?utm_source=api,https://cards.scryfall.io/normal/front/f/5/f55a1775-9672-4f0c-9aab-30ba90f0d1e6.jpg?1712355186,0.12
Temple of Triumph,MOC,March of the Machine Commander,438,normal,rare,1,81664,4f7eb4fa-8950-42e5-8695-b9c3bba91f7d,0.19,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/335/temple-of-triumph?utm_source=api,https://cards.scryfall.io/normal/front/0/7/07e73142-a8c0-4bd5-8ab4-cd10e572a975.jpg?1712355192,0.12
Terramorphic Expanse,MOC,March of the Machine Commander,439,normal,common,1,81721,66639e5d-8a74-4d58-a77d-0bb9d6d62bb1,0.11,False,False,near_mint,fr,EUR,https://scryfall.com/card/otc/336/terramorphic-expanse?utm_source=api,https://cards.scryfall.io/normal/front/9/c/9c418bac-c1d1-4fbf-aaca-7bc36b3913c4.jpg?1712355195,0.14
Together Forever,MOC,March of the Machine Commander,212,normal,rare,1,81580,2b22e344-97ae-4e25-9bf9-004ac30c2fd6,0.24,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/212/together-forever?utm_source=api,https://cards.scryfall.io/normal/front/2/b/2b22e344-97ae-4e25-9bf9-004ac30c2fd6.jpg?1682208663,0.23
Triskelion,MOC,March of the Machine Commander,387,normal,rare,1,81714,63349fa3-4462-413c-bd96-bbc1049165a0,0.3,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/387/triskelion?utm_source=api,https://cards.scryfall.io/normal/front/6/3/63349fa3-4462-413c-bd96-bbc1049165a0.jpg?1682210302,0.25
Uncivil Unrest,MOC,March of the Machine Commander,35,normal,rare,1,81324,31afae93-d3c7-49c3-9f00-2cd9621e0ff8,6.6,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/35/uncivil-unrest?utm_source=api,https://cards.scryfall.io/normal/front/3/1/31afae93-d3c7-49c3-9f00-2cd9621e0ff8.jpg?1682207507,6.77
Wood Elves,MOC,March of the Machine Commander,316,normal,common,1,81671,527cf39d-29d1-4c19-9c49-ebf611ca15d5,0.32,False,False,near_mint,fr,EUR,https://scryfall.com/card/moc/316/wood-elves?utm_source=api,https://cards.scryfall.io/normal/front/5/2/527cf39d-29d1-4c19-9c49-ebf611ca15d5.jpg?1682209656,0.38
