Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
Genesis Hydra,MOC,March of the Machine Commander,298,normal,rare,1,81724,69467d04-6c7d-44d1-88c4-9721741d6034,0.21,false,false,near_mint,fr,EUR
Good-Fortune Unicorn,MOC,March of the Machine Commander,326,normal,uncommon,1,81861,a9c61721-3f80-44e6-8a75-08ff609e4470,0.22,false,false,near_mint,fr,EUR
Guardian Scalelord,MOC,March of the Machine Commander,16,normal,rare,1,81411,94716d24-e8c6-4cd2-a3ac-20cdb929bfd4,3.3,false,false,near_mint,fr,EUR
Gyre Sage,MOC,March of the Machine Commander,300,normal,rare,1,81924,be573ae7-967a-4b98-9058-ec3ff82ff63f,2.56,false,false,near_mint,fr,EUR
"Hamza, Guardian of Arashin",MOC,March of the Machine Commander,327,normal,uncommon,1,82047,f402e6d9-8c72-4b31-bec5-4a1b3ffb39ae,0.13,false,false,near_mint,fr,EUR
Heaven // Earth,MOC,March of the Machine Commander,328,normal,rare,1,81779,82202ac9-7281-4d12-af4e-a8147cc38296,0.14,false,false,near_mint,fr,EUR
High Sentinels of Arashin,MOC,March of the Machine Commander,189,normal,rare,1,81976,d46b34ed-88a4-4868-9ce3-b91901e600d3,0.1,false,false,near_mint,fr,EUR
Hindervines,MOC,March of the Machine Commander,301,normal,uncommon,1,81910,bab0c821-965c-4086-b787-f30a6da86ff8,0.16,false,false,near_mint,fr,EUR
Ichor Elixir,MOC,March of the Machine Commander,46,normal,rare,1,81370,5ff34beb-9a69-4e15-91d3-be2100b73797,0.11,false,false,near_mint,fr,EUR
Incubation Druid,MOC,March of the Machine Commander,302,normal,rare,1,81891,b3d8c95e-09b9-46d6-80e9-95adb2c2ea9d,1.44,false,false,near_mint,fr,EUR
Inscription of Abundance,MOC,March of the Machine Commander,303,normal,rare,1,81794,897404de-93d8-433e-8e5f-5964d9cc2c2a,0.22,false,false,near_mint,fr,EUR
Inspiring Call,MOC,March of the Machine Commander,304,normal,uncommon,1,81894,b5f00ea4-a26f-49c6-b175-c3b7cb42c3ae,0.4,false,false,near_mint,fr,EUR
Ion Storm,MOC,March of the Machine Commander,286,normal,rare,1,81610,3871356b-a44c-4393-a69b-e5101508c5a8,0.11,false,false,near_mint,fr,EUR
Jungle Shrine,MOC,March of the Machine Commander,408,normal,uncommon,1,81564,24bec77b-a5f4-4f71-a8ca-4f365dc755d8,0.27,false,false,near_mint,fr,EUR
Juniper Order Ranger,MOC,March of the Machine Commander,330,normal,uncommon,1,81834,9f299f1e-2694-44e6-aad4-1f29c2ee5553,0.14,false,false,near_mint,fr,EUR
Kalonian Hydra,MOC,March of the Machine Commander,305,normal,mythic,1,81546,1d21ae20-2ef5-4dc0-aced-97497e6a8025,7.57,false,false,near_mint,fr,EUR
Kessig Wolf Run,MOC,March of the Machine Commander,410,normal,rare,1,81795,8a238f08-f7c3-46be-b999-77b1c310cb1a,0.31,false,false,near_mint,fr,EUR
Kodama's Reach,MOC,March of the Machine Commander,306,normal,common,1,81796,8b0306e0-8887-451c-aad2-527b8161b0fe,0.95,false,false,near_mint,fr,EUR
"Krenko, Tin Street Kingpin",MOC,March of the Machine Commander,287,normal,rare,1,81587,2f5689e2-d8a2-442b-8027-f89686adcb67,0.81,false,false,near_mint,fr,EUR
Krosan Verge,MOC,March of the Machine Commander,412,normal,uncommon,1,81997,dabcee54-dda3-4208-81a8-e1ae3f79acf5,0.16,false,false,near_mint,fr,EUR
Llanowar Reborn,MOC,March of the Machine Commander,413,normal,uncommon,1,81823,992e1549-0c3e-4c0f-954f-c1061e36c276,0.2,false,false,near_mint,fr,EUR
Managorger Hydra,MOC,March of the Machine Commander,307,normal,rare,1,82031,e9c124d7-b4b1-43cf-9830-1244053cc056,0.67,false,false,near_mint,fr,EUR
"Mikaeus, the Lunarch",MOC,March of the Machine Commander,197,normal,mythic,1,82058,fb885d30-c6e5-494a-bc01-3d5085b8e262,0.4,false,false,near_mint,fr,EUR
Mindless Automaton,MOC,March of the Machine Commander,365,normal,uncommon,1,81999,db51ea5c-762f-4c60-9cf5-9c9fe5270f65,0.13,false,false,near_mint,fr,EUR
Mirror-Style Master,MOC,March of the Machine Commander,32,normal,rare,1,81451,d3481424-444e-4f13-881e-339e9c353988,0.28,false,false,near_mint,fr,EUR
Mossfire Valley,MOC,March of the Machine Commander,414,normal,rare,1,81826,99b4e4f2-c37c-4bcf-a635-f01a427ffbed,0.25,false,false,near_mint,fr,EUR
Mosswort Bridge,MOC,March of the Machine Commander,415,normal,rare,1,81837,a02ddda8-703a-468c-93ec-87dc22820fd4,0.21,false,false,near_mint,fr,EUR
Mountain,MOM,March of the Machine,280,normal,common,2,81024,21041ed6-8f13-4909-a2c3-fa4894a2d1e3,0.04,false,false,near_mint,fr,EUR
Path of Ancestry,MOC,March of the Machine Commander,418,normal,common,1,82052,f975779d-60d4-4838-ac01-74b958b955a1,0.11,false,false,near_mint,fr,EUR
Path of the Pyromancer,MOC,March of the Machine Commander,34,normal,rare,1,81350,4eeaf326-4521-4508-8032-627677a82dd4,0.45,false,false,near_mint,fr,EUR
Plains,MOM,March of the Machine,277,normal,common,5,80992,00bf269d-aca3-494c-8777-de90ae903af2,0.03,false,false,near_mint,fr,EUR
Pridemalkin,MOC,March of the Machine Commander,308,normal,common,1,81941,c56cf35b-ca17-4691-9a1d-3a1a8f569c27,0.18,false,false,near_mint,fr,EUR
Restoration Angel,MOC,March of the Machine Commander,201,normal,rare,1,81698,5b474f84-9bef-422a-8fc5-489a10aaf1ee,0.36,false,false,near_mint,fr,EUR
Return to Nature,MOC,March of the Machine Commander,309,normal,common,1,81767,7e99f99a-68a1-4f35-853c-794630d313fc,0.14,false,false,near_mint,fr,EUR
"Rishkar, Peema Renegade",MOC,March of the Machine Commander,310,normal,rare,1,81713,6310af34-e671-4974-b291-279b91585459,0.24,false,false,near_mint,fr,EUR
Rogue's Passage,MOC,March of the Machine Commander,421,normal,uncommon,1,81566,25d11ee4-9cb8-4688-8004-d83e00861028,0.31,false,false,near_mint,fr,EUR
Semester's End,MOC,March of the Machine Commander,204,normal,rare,1,81667,50a89f66-11b1-4b1f-a8ff-ac23e6e1e1d0,0.29,false,false,near_mint,fr,EUR
